date,title,author
2026-06-11 18:00:27,Adidas Vintage Balls Bundle Available Now,Sloclap_broadcast
2026-06-11 13:09:39,The Rematch Nations Cup Starts Now,Sloclap_broadcast
2026-06-10 15:36:50,Join Mogz for Season 4 and warm up for the Nations Cup starting June 11,Chocolatine92
2026-06-10 14:30:11,Season 4 Is Live,Sloclap_broadcast
2026-06-04 16:14:29,Rematch Season 4 — Save the Date,Sloclap_broadcast
2026-04-30 15:30:46,Adidas Absolute Control Hits The Pitch,Sloclap_broadcast
2026-04-08 12:45:16,Rematch 2026 Roadmap,Sloclap_broadcast
2026-03-26 20:00:35,Rematch x Adidas Absolute Energy,Sloclap_broadcast
2026-03-26 15:26:46,Season 3 Is Here🔥,Sloclap_broadcast
2026-03-25 16:17:28,S3.0 Patch Notes - 1.203.000,Sloclap_broadcast
2026-03-24 17:09:52,Rematch Season 3 Drops Soon,Sloclap_broadcast
2026-03-05 16:00:29,Adidas F50 and Predator ARs Just Hit the Pitch,Sloclap_broadcast
2026-01-29 16:21:08,The First Adidas Bundle Has Landed in Rematch,Sloclap_broadcast
2026-01-28 16:00:52,1v1 Game Mode Live Now,Sloclap_broadcast
2026-01-21 17:00:32,1v1 Game Mode Dropping Soon,Sloclap_broadcast
2026-01-16 18:00:47,Mini Dev Update #8 - New Year & Season 2,Chocolatine92
2026-01-16 14:00:34,Patch #8 Notes - 1.202.100,Chocolatine92
2025-12-26 18:00:35,Kick Off Season 2 With 33% Off!,Chocolatine92
2025-12-22 18:00:48,Dress your squad in the Jingle Bell Bundle.,Chocolatine92
2025-12-19 14:35:54,Frost on the field. Heat in the fit. Puma Is Back,Sloclap_broadcast
